session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f8d8c6b64ecb008eeb8eaeb,5bf57133345b9b00016ef0a7,AWAITING REVIEW,2020-10-19 12:54:06.480000,2020-10-19 12:58:34.941000,268.461,24,104,0,100,,366C5978,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,Yes
5f8d8c6f6331fb08ac399570,5eed14f9c71a701260df7784,AWAITING REVIEW,2020-10-19 12:54:22.401000,2020-10-19 13:01:33.293000,430.892,19,62,0,100,,366C5978,Poland,United Kingdom,Other,Polish,"English, Polish",United Kingdom,Female,Yes
5f8d8c717e68750951700a7f,5eb31b5a9d6676100566f6ce,AWAITING REVIEW,2020-10-19 12:54:26.445000,2020-10-19 12:56:38.226000,131.781,25,123,0,100,,366C5978,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f8d8c74af903e084a2970c0,5e9ec8f7e16784000beea696,AWAITING REVIEW,2020-10-19 12:54:12.886000,2020-10-19 12:57:22.726000,189.84,21,142,0,100,,366C5978,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f8d8c7bc973c108f4f14151,5ec3c126840c7222d093ccc1,AWAITING REVIEW,2020-10-19 12:54:27.873000,2020-10-19 12:57:02.620000,154.747,23,78,0,100,,366C5978,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,Yes
5f8d8c81a43aba08a07c65ef,5f28431d82be890d2f58a32d,AWAITING REVIEW,2020-10-19 12:54:36.352000,2020-10-19 12:56:46.155000,129.803,25,63,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f8d8c8166efcf09031eafc3,59a6cb481363d9000167685c,AWAITING REVIEW,2020-10-19 12:54:25.870000,2020-10-19 12:57:03.755000,157.885,29,243,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,"English, German",United Kingdom,Female,Yes
5f8d8c88ca1d0408b4f86127,5e9e2d1e910d622008696d04,AWAITING REVIEW,2020-10-19 12:54:32.159000,2020-10-19 12:58:13.235000,221.076,36,64,1,100,,366C5978,Iran,United Kingdom,Part-Time,Kurdish,"English, Farsi, Kurdish",Iran,Male,Yes
5f8d8c8ab469db093bfddab9,5e3d857264d5e6000dd34f3e,AWAITING REVIEW,2020-10-19 12:54:59.664000,2020-10-19 12:56:35.345000,95.681,22,197,2,100,,366C5978,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f8d8c8b2c54db08eea7ff39,5d5952e7e1e7440016132cb5,AWAITING REVIEW,2020-10-19 12:54:38.566000,2020-10-19 12:56:46.363000,127.797,33,46,1,100,,366C5978,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f8d8c8f5b296c07f17dc2ad,542c323bfdf99b324ea3808d,AWAITING REVIEW,2020-10-19 12:54:43.497000,2020-10-19 12:57:10.316000,146.819,48,910,8,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,"English, Spanish, French",United Kingdom,Female,Yes
5f8d8c91b3489509583ac5b0,5f16c30d59ac784a401cb353,AWAITING REVIEW,2020-10-19 12:54:41.118000,2020-10-19 12:59:04.540000,263.422,18,32,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f8d8c9442304b08a7b2b94d,5f29ed73209c1b1a178602e3,AWAITING REVIEW,2020-10-19 12:54:44.403000,2020-10-19 12:59:36.701000,292.298,24,34,0,100,,366C5978,Nigeria,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,English,Nigeria,Male,Yes
5f8d8d4730716508a0396fdf,5f2bf5a67c462f000968a4e8,AWAITING REVIEW,2020-10-19 12:57:43.033000,2020-10-19 12:59:59.587000,136.554,19,7,0,100,,366C5978,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Male,Yes
